Artikel-Nr.,  Artikelbezeichnung,EAN-Code,Preis Netto €,UVP (inkl. MwSt)  € ,Bestell Menge
122-23,Color Elixier Gloss Nr. 23,4019954122238,7.67,15.40,
,,,,,
,,,,,
122-23-T,Color Elixier Gloss Tester Nr. 23,4019954907972,5.15,,
,,,,,
,,,,,
122-24,Color Elixier Gloss Nr. 24,4019954122245,7.67,15.40,
,,,,,
,,,,,
122-24-T,Color Elixier Gloss Tester Nr. 24,4019954907989,5.15,,
,,,,,
,,,,,
122-31,Galactic Shine Gloss Nr. 31,4019954122313,7.67,15.40,
,,,,,
,,,,,
122-31-T,Galactic Shine Gloss Tester Nr. 31,4019954911030,5.15,,
,,,,,
,,,,,
122-32,Galactic Shine Gloss Nr. 32,4019954122320,7.67,15.40,
,,,,,
,,,,,
122-32-T,Galactic Shine Gloss Tester Nr. 32,4019954911047,5.15,,
,,,,,
,,,,,
122-33,Galactic Shine Gloss Nr. 33,4019954122337,7.67,15.40,
,,,,,
,,,,,
122-33-T,Galactic Shine Gloss Tester Nr. 33,4019954911054,5.15,,
,,,,,
,,,,,
122-34,Galactic Shine Gloss Nr. 34,4019954122344,7.67,15.40,
,,,,,
,,,,,
122-34-T,Galactic Shine Gloss Tester Nr. 34,4019954911061,5.15,,
,,,,,
,,,,,
122-41,Multishine Gloss Nr. 41,4019954122412,7.67,15.40,
,,,,,
,,,,,
122-41-T,Multishine Gloss Tester Nr. 41,4019954907996,5.15,,
,,,,,
,,,,,
122-44,Multishine Gloss Nr. 44,4019954122443,7.67,15.40,
,,,,,
,,,,,
122-44-T,Multishine Gloss Tester Nr. 44,4019954908023,5.15,,
,,,,,
,,,,,
122-82,Lip Volume Gloss Nr. 82,4019954122825,7.67,15.40,
,,,,,
,,,,,
122-82-T,Lip Volume Gloss Tester Nr. 82,4019954908993,5.15,,
,,,,,
,Lippen,,,,
,,,,,
122-84,Lip Volume Gloss Nr. 84,4019954122849,7.67,15.40,
,,,,,
,,,,,
122-84-T,Lip Volume Gloss Tester Nr. 84,4019954909013,5.15,,
,,,,,
,,,,,
,,,,,
,,,,,
131-02,Waterproof Lipliner Pencil Nr. 02,4019954131025,4.50,9.10,
,,,,,
,,,,,
131-03,Waterproof Lipliner Pencil Nr. 03,4019954131032,4.50,9.10,
,,,,,
,,,,,
,,,,,
,,,,,
132-01,Lipliner Duo Pen Nr. 01,4019954132015,3.30,6.60,
,,,,,
,,,,,
132-02,Lipliner Duo Pen Nr. 02,4019954132022,3.30,6.60,
,,,,,
,,,,,
132-03,Lipliner Duo Pen Nr. 03,4019954132039,3.30,6.60,
,,,,,
,,,,,
132-04,Lipliner Duo Pen Nr. 04,4019954132046,3.30,6.60,
,,,,,
,,,,,
,,,,,
,,,,,
135-03,Permanent Lipliner Nr. 03,4019954135030,6.68,13.40,
,,,,,
,,,,,
135-03-T,Permanent Lipliner Tester Nr. 03,4019954900898,4.09,,
,,,,,
,,,,,
135-09,Permanent Lipliner Nr. 09,4019954135092,6.68,13.40,
,,,,,
,,,,,
135-09-T,Permanent Lipliner Tester Nr. 09,4019954900911,4.09,,
,,,,,
,,,,,
135-11,Permanent Lipliner Nr. 11,4019954135115,6.68,13.40,
,,,,,
,,,,,
135-11-T,Permanent Lipliner Tester Nr. 11,4019954900928,4.09,,
,,,,,
,,,,,
,,,,,
,Augen,,,,
,,,,,
,,,,,
322-02,Eye Sensation Nr. 02,4019954322027,8.80,17.60,
,,,,,
,,,,,
322-02-T,Eye Sensation Tester Nr. 02,4019954901147,3.99,,
,,,,,
,,,,,
322-04,Eye Sensation Nr. 04,4019954322041,8.80,17.60,
,,,,,
,,,,,
322-04-T,Eye Sensation Tester Nr. 04,4019954901154,3.99,,
,,,,,
,,,,,
322-05,Eye Sensation Nr. 05,4019954322058,8.80,17.60,
,,,,,
,,,,,
322-05-T,Eye Sensation Tester Nr. 05,4019954901161,3.99,,
,,,,,
,,,,,
322-06,Eye Sensation Nr. 06,4019954322065,8.80,17.60,
,,,,,
,,,,,
322-06-T,Eye Sensation Tester Nr. 06,4019954901178,3.99,,
,,,,,
,,,,,
322-08,Eye Sensation Nr. 08,4019954322089,8.80,17.60,
,,,,,
,,,,,
322-08-T,Eye Sensation Tester Nr. 08,4019954901192,3.99,,
,,,,,
,,,,,
322-09,Eye Sensation Nr. 09,4019954322096,8.80,17.60,
,,,,,
,,,,,
322-09-T,Eye Sensation Tester Nr. 09,4019954901208,3.99,,
,,,,,
,,,,,
,,,,,
,,,,,
323-01,Lidschatten Mono-Mat Nr. 01,4019954323017,7.43,14.80,
,,,,,
,,,,,
323-01-T,Lidschatten Mono-Mat Tester Nr. 01,4019954900669,4.00,,
,,,,,
,,,,,
323-02,Lidschatten Mono-Mat Nr. 02,4019954323024,7.43,14.80,
,,,,,
,,,,,
323-02-T,Lidschatten Mono-Mat Tester Nr. 02,4019954900676,4.00,,
,,,,,
,,,,,
323-03,Lidschatten Mono-Mat Nr. 03,4019954323031,7.43,14.80,
,,,,,
,,,,,
323-03-T,Lidschatten Mono-Mat Tester Nr. 03,4019954900683,4.00,,
,,,,,
,Augen,,,,
,,,,,
323-04,Lidschatten Mono-Mat Nr. 04,4019954323048,7.43,14.80,
,,,,,
,,,,,
323-04-T,Lidschatten Mono-Mat Tester Nr. 04,4019954900690,4.00,,
,,,,,
,,,,,
323-05,Lidschatten Mono-Mat Nr. 05,4019954323055,7.43,14.80,
,,,,,
,,,,,
323-05-T,Lidschatten Mono-Mat Tester Nr. 05,4019954900706,4.00,,
,,,,,
,,,,,
323-06,Lidschatten Mono-Mat Nr. 06,4019954323062,7.43,14.80,
,,,,,
,,,,,
323-06-T,Lidschatten Mono-Mat Tester Nr. 06,4019954900713,4.00,,
,,,,,
,,,,,
323-07,Lidschatten Mono-Mat Nr. 07,4019954323079,7.43,14.80,
,,,,,
,,,,,
323-07-T,Lidschatten Mono-Mat Tester Nr. 07,4019954900720,4.00,,
,,,,,
,,,,,
323-08,Lidschatten Mono-Mat Nr. 08,4019954323086,7.43,14.80,
,,,,,
,,,,,
323-08-T,Lidschatten Mono-Mat Tester Nr. 08,4019954900737,4.00,,
,,,,,
,,,,,
323-09,Lidschatten Mono-Mat Nr. 09,4019954323093,7.43,14.80,
,,,,,
,,,,,
323-09-T,Lidschatten Mono-Mat Tester Nr. 09,4019954900744,4.00,,
,,,,,
,,,,,
,,,,,
,,,,,
324-01,Lidschatten Hypnotic Eyes Nr. 01,4019954324014,10.25,20.50,
,,,,,
,,,,,
324-01-T,Lidschatten Hypnotic Eyes Tester Nr. 01,4019954907637,4.00,,
,,,,,
,,,,,
324-02,Lidschatten Hypnotic Eyes Nr. 02,4019954324021,10.25,20.50,
,,,,,
,,,,,
324-02-T,Lidschatten Hypnotic Eyes Tester Nr. 02,4019954907644,4.00,,
,,,,,
,,,,,
324-03,Lidschatten Hypnotic Eyes Nr. 03,4019954324038,10.25,20.50,
,,,,,
,,,,,
324-03-T,Lidschatten Hypnotic Eyes Tester Nr. 03,4019954907651,4.00,,
,,,,,
,,,,,
324-04,Lidschatten Hypnotic Eyes Nr. 04,4019954324045,10.25,20.50,
,,,,,
,,,,,
324-04-T,Lidschatten Hypnotic Eyes Tester Nr. 04,4019954907668,4.00,,
,,,,,
,,,,,
324-05,Lidschatten Hypnotic Eyes Nr. 05,4019954324052,10.25,20.50,
,,,,,
,,,,,
324-05-T,Lidschatten Hypnotic Eyes Tester Nr. 05,4019954907675,4.00,,
,,,,,
,,,,,
324-06,Lidschatten Hypnotic Eyes Nr. 06,4019954324069,10.25,20.50,
,,,,,
,,,,,
324-06-T,Lidschatten Hypnotic Eyes Tester Nr. 06,4019954907682,4.00,,
,,,,,
,,,,,
,,,,,
,,,,,
341-01,Waterproof Eyeliner Pencil Nr. 01,4019954341011,4.50,9.10,
,,,,,
,,,,,
,,,,,
,,,,,
345-01,Permanent Eyeliner Nr. 01,4019954345019,6.88,13.80,
,,,,,
,,,,,
345-01-T,Permanent Eyeliner Tester Nr. 01,4019954901130,4.20,,
,,,,,
,,,,,
,,,,,
,,,,,
350-01,Eyebrow & Eyeliner Compact Nr. 01,4019954350013,9.28,18.50,
,,,,,
,,,,,
350-03,Eyebrow & Eyeliner Compact Nr. 03,4019954350037,9.28,18.50,
,,,,,
,,,,,
350-03-T,Eyebrow&Eyeliner Compact Tester Nr. 03,4019954909198,3.70,,
,,,,,
,,,,,
350-04,Eyebrow & Eyeliner Compact Nr. 04,4019954350044,9.28,18.50,
,,,,,
,,,,,
350-04-T,Eyebrow&Eyeliner Compact Tester Nr. 04,4019954909204,3.70,,
,,,,,
,,,,,
,,,,,
,,,,,
370-01,Eyeliner Matic Nr. 01,4019954370011,6.64,13.30,
,,,,,
,Augen,,,,
,,,,,
370-01-T,Eyeliner Matic Tester,4019954901321,4.20,,
,,,,,
,,,,,
,,,,,
,,,,,
385-01,Mascara LASH CREATION,4019954003858,7.50,15.00,
,,,,,
,,,,,
385-01-T,Mascara LASH CREATION Tester,4019954910088,4.95,,
,,,,,
,,,,,
,,,,,
,,,,,
390-01,Mascara LASH-XPRESS & hyaluronic³,4019954003902,8.44,16.90,
,,,,,
,,,,,
390-01-T,Mascara LASH-XPRESS&hyaluronic³ T,4019954901376,5.50,,
,,,,,
,,,,,
,,,,,
,,,,,
391-01,Mascara 1+1 Double Effect Maximizing,4019954003919,10.24,20.50,
,,,,,
,,,,,
391-01-T,Mascara 1+1 Double Effect Tester,4019954901383,6.30,,
,,,,,
,,,,,
,,,,,
,,,,,
630-03-T,Eye Shadow Duo Select Tester Nr. 03*,4019954901390,3.99,,
,,,,,
,,,,,
630-06-T,Eye Shadow Duo Select Tester Nr. 06*,4019954901406,3.99,,
,,,,,
,,,,,
630-07-T,Eye Shadow Trio Select Tester Nr. 07*,4019954901413,3.99,,
,,,,,
,,,,,
630-13-T,Eye Shadow Trio Select Tester Nr. 13*,4019954901475,3.99,,
,,,,,
